timestamp x y z qx qy qz qw id
1679925501.362876 -0.600277 0.287595 0.419134 0.027494 0.015194 -0.855195 0.517353 1
1679925502.763048 -0.600359 0.287441 0.419415 0.027449 0.015140 -0.855239 0.517285 2
1679925504.161702 -0.600461 0.287334 0.419653 0.027516 0.015104 -0.855255 0.517256 3
1679925505.363057 -0.600580 0.287243 0.419895 0.027460 0.015086 -0.855259 0.517253 4
1679925507.062951 -0.600693 0.287201 0.420206 0.027387 0.015040 -0.855276 0.517229 5
1679925508.562598 -0.600715 0.287229 0.420479 0.027351 0.015069 -0.855323 0.517153 6
1679925510.362248 -0.600760 0.287221 0.420817 0.027361 0.015036 -0.855358 0.517096 7
1679925511.863362 -0.600790 0.287142 0.421104 0.027354 0.015049 -0.855336 0.517132 8
1679925513.063062 -0.600834 0.287063 0.421318 0.027307 0.015095 -0.855324 0.517153 9
1679925514.262819 -0.600800 0.286980 0.421648 0.027058 0.014838 -0.855258 0.517282 10
1679925515.363017 -0.600720 0.286992 0.421850 0.027015 0.014840 -0.855226 0.517338 11
1679925516.562809 -0.600622 0.286990 0.422108 0.026916 0.014900 -0.855243 0.517313 12
1679925518.463235 -0.648434 0.229545 0.736107 0.000355 0.001468 -0.853743 0.520692 13
1679925520.062521 -1.049432 -0.355307 0.801067 -0.007753 0.011543 0.896266 -0.443299 14
1679925521.664340 -1.746338 -1.464397 0.798000 0.004626 0.005630 -0.837907 0.545765 15
1679925522.963531 -1.774577 -1.570668 0.784625 -0.000616 -0.001150 0.869176 -0.494501 16
1679925524.463288 -1.928933 -1.788101 0.782787 -0.008112 0.012869 0.929357 -0.368869 17
1679925525.665648 -2.354302 -2.486414 0.777655 0.003187 -0.009143 0.893395 -0.449167 18
1679925526.862671 -2.808302 -3.225713 0.763299 0.000360 -0.002987 0.868311 -0.496011 19
1679925528.463339 -2.847577 -3.312859 0.756678 -0.000722 0.000592 0.869521 -0.493895 20
1679925530.463198 -3.303180 -4.164676 0.726884 -0.018690 -0.007009 0.878254 -0.477777 21
1679925532.363667 -3.910921 -5.085642 0.626794 -0.029535 -0.024984 0.868380 -0.494388 22
1679925534.262778 -3.970101 -5.252609 0.603020 -0.031083 -0.019291 0.867383 -0.496295 23
1679925535.463959 -4.556108 -6.235189 0.508585 0.030870 0.026650 -0.860165 0.508383 24
1679925535.463959 -4.556108 -6.235189 0.508585 0.030870 0.026650 -0.860165 0.508383 25
1679925537.163902 -4.920575 -6.849585 0.440255 -0.031668 -0.019518 0.869614 -0.492329 26
1679925538.463218 -4.926611 -6.863281 0.438556 -0.032441 -0.018950 0.868554 -0.494168 27
