waypoint tag_id x y z
0 351 0.0083939292044235 0.013802746423074108 0.06158468643724646 
1 351 0.08252255360457639 0.02751763461197887 0.07218008379929097 
2 351 0.11240321879438753 0.01620581963240386 0.025339857018052303 
3 352 0.0 0.0 0.0 
3 351 0.11240321879438753 0.01620581963240386 0.025339857018052303 
4 352 0.0 0.0 0.0 
4 351 0.11240321879438753 0.01620581963240386 0.025339857018052303 
5 352 0.0 0.0 0.0 
53 404 0.7913082697432969 0.05662921719784286 0.08704602992755639 
54 404 1.5714114177172789 0.03084992677053755 0.14634851893011813 
55 404 1.5714114177172789 0.03084992677053755 0.14634851893011813 
56 404 0.1059909542459394 0.03084992677053755 0.056480840862384696 
59 405 0.034744080655556786 0.011048295054107982 0.030361201653938963 
60 405 2.4081555059764526 0.06918786855479198 0.047140029434949327 
61 405 0.053778817077525076 0.08220126715344556 0.3104335790457 
62 405 0.053778817077525076 0.08220126715344556 0.3104335790457 
63 405 0.053778817077525076 0.08220126715344556 0.3104335790457 
66 406 0.06670862161003299 0.03585762828179284 0.032480703315542314 
67 406 0.16883304429099866 0.012269545082871147 0.0569662954249921 
68 406 0.13524555039934683 0.03992109519360021 0.06804542021867377 
69 406 0.13524555039934683 0.03992109519360021 0.06804542021867377 
70 406 0.13524555039934683 0.03992109519360021 0.06804542021867377 
73 407 0.03416179279003728 0.006738386909026062 0.04160825242068 
74 407 0.330239665678544 0.0022619975175715012 0.12500358479196194 
75 407 0.330239665678544 0.0022619975175715012 0.12500358479196194 
76 407 0.330239665678544 0.0022619975175715012 0.12500358479196194 
84 409 0.0 0.0 0.0 
85 409 0.0 0.0 0.0 
86 409 0.0 0.0 0.0 
99 410 0.031922102230709015 0.06106439925121898 0.15167410035020534 
100 410 0.08520401479321293 0.03527447084036328 0.1972849253808957 
101 410 0.20105635358947183 0.06959531076083758 0.10189757049747161 
102 410 0.20105635358947183 0.06959531076083758 0.10189757049747161 
103 410 0.20105635358947183 0.06959531076083758 0.10189757049747161 
106 409 0.07635776922909088 0.033655286104739446 0.05486638934812049 
107 409 0.11454130689590869 0.046402688671019376 0.038438217698082866 
108 409 0.019808828188683236 0.022900900206172636 0.03297131659692809 
109 409 0.052357703689786206 0.007610863132574863 0.026010352101366152 
110 409 0.052357703689786206 0.007610863132574863 0.026010352101366152 
111 409 0.052357703689786206 0.007610863132574863 0.026010352101366152 
112 408 0.03597548515080895 0.00871190077527828 0.04329565295525484 
113 408 0.10592052093170778 0.004149058660883664 0.038001803710486115 
114 408 0.10730197139752917 0.012491599415251908 0.10930558303497584 
115 408 0.10730197139752917 0.012491599415251908 0.10930558303497584 
116 408 0.03173707378174129 0.012491599415251908 0.018251869802369924 
133 414 0.056550386543913866 0.05912697772305542 0.1052519950598354 
134 414 0.8563924151365914 0.057167626177606956 0.2767805182383509 
135 414 0.03289756176513503 0.037821648592498924 0.09927815939624551 
136 414 0.0643132777195945 0.11051742250786001 0.300456506613477 
137 414 0.0643132777195945 0.11051742250786001 0.300456506613477 
138 414 0.0643132777195945 0.11051742250786001 0.300456506613477 
145 351 0.012463017678161492 0.0030264132213910777 0.005925063422002275 
146 351 0.05372766480688185 0.0016503811714572159 0.014449747572212956 
